width,height,trans_x,trans_y,rotation
0.001,0.01,0,0.00586603,0
0.0006,0.002,0.0005929945,0.00283453,-1.1781
0.0006,0.002,-0.0005929945,0.00283453,1.1781
0.0006,0.0026000000000000003,0.0008508955000000001,0.00432587,-1.1781
0.0006,0.0026000000000000003,-0.0008508955000000001,0.00432587,1.1781
0.0006,0.003,0.001062606,0.00581721,-1.1781
0.0006,0.003,-0.001062606,0.00581721,1.1781
0.0006,0.003,0.001062606,0.00711721,-1.1781
0.0006,0.003,-0.001062606,0.00711721,1.1781
0.0006,0.0024,0.000916349,0.00822587,-1.1781
0.0006,0.0024,-0.000916349,0.00822587,1.1781
0.0006,0.002,0.0005929945,0.00933453,-1.1781
0.0006,0.002,-0.0005929945,0.00933453,1.1781
